challenge_name,category,difficulty,difficulty_original,year,ctf_event,word_count,unique_words,vocabulary_richness,sentence_count,avg_sentence_length,header_count,code_block_count,section_count,security_term_density,tool_mention_count,vulnerability_count,lines_of_code,avg_code_block_length,function_count,import_count,solution_step_count,technical_concept_count,sbert_pca_0,sbert_pca_1,sbert_pca_2,sbert_pca_3,sbert_pca_4,sbert_pca_5,sbert_pca_6,sbert_pca_7,sbert_pca_8,sbert_pca_9,sbert_pca_10,sbert_pca_11,sbert_pca_12,sbert_pca_13,sbert_pca_14,sbert_pca_15,sbert_pca_16,sbert_pca_17,sbert_pca_18,sbert_pca_19,sbert_pca_20,sbert_pca_21,sbert_pca_22,sbert_pca_23,sbert_pca_24,sbert_pca_25,sbert_pca_26,sbert_pca_27,sbert_pca_28,sbert_pca_29,sbert_pca_30,sbert_pca_31,sbert_pca_32,sbert_pca_33,sbert_pca_34,sbert_pca_35,sbert_pca_36,sbert_pca_37,sbert_pca_38,sbert_pca_39,sbert_pca_40,sbert_pca_41,sbert_pca_42,sbert_pca_43,sbert_pca_44,sbert_pca_45,sbert_pca_46,sbert_pca_47,sbert_pca_48,sbert_pca_49,tfidf_00,tfidf_00 00,tfidf_10,tfidf_11,tfidf_16,tfidf_add,tfidf_address,tfidf_app,tfidf_application,tfidf_assets,tfidf_bash,tfidf_binary,tfidf_buffer,tfidf_byte,tfidf_bytes,tfidf_char,tfidf_check,tfidf_code,tfidf_com,tfidf_command,tfidf_const,tfidf_content,tfidf_create,tfidf_data,tfidf_def,tfidf_description,tfidf_end,tfidf_error,tfidf_file,tfidf_following,tfidf_function,tfidf_htb,tfidf_html,tfidf_http,tfidf_https,tfidf_id,tfidf_img,tfidf_import,tfidf_index,tfidf_input,tfidf_int,tfidf_ip,tfidf_json,tfidf_key,tfidf_len,tfidf_length,tfidf_let,tfidf_libc,tfidf_long,tfidf_main,tfidf_memory,tfidf_message,tfidf_need,tfidf_new,tfidf_number,tfidf_open,tfidf_output,tfidf_password,tfidf_payload,tfidf_png,tfidf_port,tfidf_print,tfidf_process,tfidf_provided,tfidf_public,tfidf_py,tfidf_python,tfidf_range,tfidf_read,tfidf_request,tfidf_response,tfidf_return,tfidf_root,tfidf_run,tfidf_script,tfidf_self,tfidf_server,tfidf_session,tfidf_set,tfidf_sh,tfidf_solution,tfidf_start,tfidf_string,tfidf_text,tfidf_time,tfidf_token,tfidf_true,tfidf_txt,tfidf_type,tfidf_url,tfidf_use,tfidf_used,tfidf_user,tfidf_username,tfidf_using,tfidf_value,tfidf_void,tfidf_windows,tfidf_write,tfidf_x00,category_blockchain,category_crypto,category_forensics,category_fullpwn,category_hardware,category_misc,category_pwn,category_reversing,category_web
SPG,crypto,Beginner,Very Easy,2023,htboo-ctf-2023,1071,424,0.395891690009337,93,11.516129032258064,11,7,11,0.0177404295051353,1,0,58,8.285714285714286,6,6,9,3,-0.0758402720093727,0.2716149389743805,0.0543137118220329,0.067060574889183,-0.0043533532880246,-0.1274340003728866,0.0854680687189102,-0.102796621620655,-0.1012495830655098,-0.1960417926311493,0.0645167306065559,-0.0138325281441211,-0.1295598149299621,0.0618079900741577,-0.1045926660299301,0.005790498573333,-0.1073367819190025,0.029443060979247,-0.0300791878253221,-0.0489584989845752,0.0994339659810066,0.0842459499835968,-0.0764740332961082,-0.0502213388681411,-0.062775045633316,0.1599411964416504,-0.0735908970236778,0.0577389970421791,-0.1272432208061218,-0.0065919267944991,-0.1698337644338607,-0.1046142056584358,-0.0867948904633522,0.0634536817669868,0.100298598408699,-0.0334096811711788,-0.0100194225087761,0.0682140365242958,0.0206092670559883,-0.056114699691534,0.0103653417900204,-0.0129886269569396,-0.0064345253631472,-0.0459614135324955,0.0283701308071613,0.0373586788773536,0.0187044590711593,0.0144417434930801,0.0338772237300872,-0.0082642640918493,0.0,0.0,0.0,0.0,0.0233075845861061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225897444620664,0.0,0.0,0.0,0.0274485787926145,0.0,0.0,0.0,0.0,0.0,0.016103582100131,0.1185089257648308,0.0125936181954414,0.0,0.0,0.0284606929095882,0.0,0.0548971575852291,0.0,0.0,0.0,0.0,0.0,0.0,0.0945071357790358,0.0233075845861061,0.0,0.0397643287346972,0.0,0.0,0.4493592986360323,0.0648069783051827,0.0,0.0633524581004303,0.0,0.0,0.0511317225982619,0.0,0.0,0.016103582100131,0.0342861272799818,0.0205628445618677,0.0342861272799818,0.1080116305086379,0.8358861944410059,0.0,0.0,0.0,0.0152451322380191,0.0174466552742501,0.0342861272799818,0.0,0.0173444165393911,0.1096551627493025,0.0,0.0,0.0,0.0,0.0535123208112104,0.0,0.0,0.0514291909199727,0.0,0.0,0.0,0.0191228706124736,0.0,0.0122236017191622,0.0,0.0909681214672547,0.021446953605216,0.0,0.0,0.0,0.0549153154090863,0.0,0.0,0.0275900267047697,0.0662501849236077,0.0,0.0,0.0537854277731373,0.0,0.0,0.0,0.0532796589973671,0.0,0,1,0,0,0,0,0,0,0
yesnce,crypto,Beginner,Very Easy,2023,htboo-ctf-2023,1658,688,0.4149577804583836,132,12.56060606060606,13,15,13,0.0132689987937273,2,0,98,6.533333333333333,10,3,6,4,-0.1076599359512329,0.2437674403190612,0.1624982506036758,0.0017909324960783,0.0470339395105838,-0.1773843318223953,0.1094826534390449,-0.0169587898999452,0.1100777313113212,-0.0902268588542938,-0.0562095157802104,0.1728187650442123,-0.072511650621891,-0.0318821482360363,-0.1772174090147018,-0.0848642960190773,0.0755494683980941,0.1296533644199371,0.1393764168024063,0.0285446401685476,0.1955229192972183,0.0699467211961746,-0.04648332670331,0.0181777421385049,-0.0682447701692581,0.0977813526988029,-0.0361298769712448,0.072549283504486,0.0042990026995539,-0.0311948489397764,0.101980522274971,-0.0773636177182197,0.1106694266200065,-0.0051747248508036,-0.0119947763159871,-0.0553492307662963,-0.0439535342156887,-0.1118815392255783,0.0923529788851738,-0.0165694653987884,-0.0499385818839073,0.0360924340784549,0.0827227607369422,-0.0247325729578733,0.0349981561303138,-0.0234309937804937,-0.0848106369376182,-0.0656538382172584,-0.0067714774049818,0.0256290454417467,0.0,0.0,0.0,0.0,0.2953988075624977,0.0,0.0,0.0,0.0,0.0207553308306,0.0,0.0,0.0,0.11452037945131,0.0461169616411406,0.0,0.0,0.0695762996347293,0.0,0.0,0.0,0.0,0.0741243243806488,0.0204095749702831,0.2503290665399376,0.0159610695998433,0.0251985255021981,0.0,0.0721417933019658,0.0608892463884651,0.0521822247260469,0.0,0.029076715204802,0.0,0.020991263117516,0.0973457978875656,0.0313110845209186,0.059888863884926,0.0,0.0,0.0,0.0,0.0,0.3644896291850518,0.273786472701701,0.029076715204802,0.2007312309635028,0.0,0.0,0.0864053491734574,0.0,0.2827986190056888,0.0204095749702831,0.1086350354862605,0.0,0.0869080283890084,0.1916505308911907,0.0,0.0,0.0211109199180491,0.0,0.077286324845998,0.0221117771553197,0.0434540141945042,0.0,0.0439644008985605,0.2779524767961129,0.2394803240938939,0.0424634656816736,0.0,0.0,0.1186870414370334,0.0,0.0478624196720937,0.1303620425835125,0.3104217006553287,0.0,0.0,0.0484724030946044,0.0,0.0154921131300403,0.0,0.0,0.0815451875430146,0.0,0.0,0.0219822004492802,0.2087979382269309,0.0,0.0,0.0174837099895472,0.1049563155875804,0.0,0.0,0.0170418251296346,0.1080066864668217,0.0,0.0,0.0675262924693653,0.2118359356151573,0,1,0,0,0,0,0,0,0
Leaking Park,crypto,Intermediate,Medium,2023,htboo-ctf-2023,793,314,0.3959646910466582,39,20.333333333333332,3,7,3,0.0138713745271122,1,0,24,4.0,0,0,2,1,-0.065617099404335,0.4217155575752258,-0.0459664426743984,-0.0742135345935821,0.0209969468414783,-0.0673727616667747,0.2031564116477966,0.0801931172609329,0.181527629494667,0.0687405541539192,-0.0031156749464571,0.0551164746284484,0.0639938116073608,0.1165467947721481,0.0209653880447149,0.1130600720643997,-0.1086308062076568,0.2635097503662109,0.0175124388188123,0.0843409672379493,-0.0068815327249467,0.0560292340815067,-0.0276270005851984,0.0198730025440454,-0.0544212460517883,0.0205270443111658,-0.2071717679500579,0.0540864095091819,-0.0074330642819404,-0.0092270215973258,0.1722142994403839,0.1135598570108413,0.034656923264265,-0.0589927546679973,0.0892468988895416,0.0844724997878074,-0.0225262641906738,-0.0560070909559726,-0.0431843921542167,0.0390252359211444,0.0203567128628492,0.0115379998460412,0.0193691402673721,-0.007609527092427,-0.1395037025213241,-0.0622549839317798,-0.0700043961405754,-0.0110457995906472,0.0060033150948584,-0.0485104769468307,0.0,0.0,0.0,0.0,0.0,0.0525656640484964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0720900301155417,0.0,0.1065512306386661,0.0,0.0,0.2048063226490939,0.0,0.0518746470864388,0.0330754579984768,0.0,0.0,0.0373741064057102,0.0,0.0360450150577708,0.0895270984050613,0.0,0.0,0.0,0.0,0.0,0.1241051916734833,0.0,0.0,0.1044357042186798,0.0,0.0,0.0,0.1134712548147163,0.0,0.0415966947401886,0.0,0.0,0.0,0.0,0.0,0.0845878198166607,0.0,0.1080111356530491,0.0,0.1702068822220744,0.0,0.0,0.0,0.0,0.4404323646421052,0.0,0.0,0.0,0.3188695721099936,0.0,0.4962650749362653,0.0,0.0,0.0,0.0351357428009229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0642073181793944,0.498157370499412,0.0,0.0,0.0,0.0,0.0,0.1442277493328975,0.0,0.0,0.0,0.0,0.0,0.0,0.0353150625505793,0.1342906476075919,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0
Symbols,crypto,Beginner,Easy,2023,htboo-ctf-2023,1202,497,0.413477537437604,81,14.839506172839506,10,10,10,0.0133111480865224,1,0,51,5.1,6,1,8,3,0.0772153139114379,0.4938181340694427,-0.0026602272409945,-0.068250797688961,-0.0692034587264061,-0.0830399394035339,-0.175844058394432,-0.0069822613149881,0.0720650181174278,0.0001640399277675,0.1010983735322952,0.0736032277345657,-0.0974853709340095,-0.0240104272961616,0.0425325669348239,0.0531323589384555,-0.0959948524832725,0.1035596281290054,-0.1079808473587036,-0.0199629385024309,-0.0328698940575122,0.1212881579995155,0.0126670273020863,-0.1900333017110824,0.0480527617037296,0.1035265028476715,-0.0210381615906953,-0.0660681948065757,-0.0175224673002958,-0.0902192965149879,-0.0161372665315866,-0.0230489391833543,-0.0249581895768642,0.0157054401934146,0.0605421103537082,-0.021744443103671,-0.0638742893934249,0.1060612276196479,0.0880108326673507,-0.0067910277284681,-0.0204476881772279,-0.0160337276756763,-0.0236902255564928,0.0109386919066309,-0.0503936000168323,-0.1084052324295044,-0.0001546790736028,0.0899191796779632,-0.0184249058365821,-0.0661070719361305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0471621019784875,0.1054302183049558,0.0,0.0,0.0,0.0,0.0,0.1649439789832682,0.3034625097562117,0.0322481278083973,0.2036468210090435,0.0,0.0728785046696249,0.0820147291261523,0.3514340610165195,0.0,0.0,0.0,0.0,0.0,0.0,0.0403336322957488,0.0,0.0,0.1527351157567826,0.0,0.0,0.0460264742647255,0.0,0.0,0.2838935351749895,0.0,0.0,0.1309315797749955,0.0,0.1558290305731808,0.0,0.0,0.3685829286477389,0.0877955324213384,0.387215328901704,0.0,0.0,0.0,0.0,0.1171133581877649,0.0,0.0438977662106692,0.0,0.0444133649793218,0.3209039143760367,0.0537613100193354,0.0428971022250146,0.0,0.0,0.1370275114000622,0.0,0.0,0.0438977662106692,0.0,0.0,0.0,0.0,0.0,0.0313006369099848,0.0,0.0,0.1098372350548354,0.0474541683848189,0.0,0.0,0.2343668677351332,0.0,0.0,0.0353245069687189,0.0424112514289143,0.0,0.0,0.0344317122001781,0.087287719849997,0.0,0.0,0.1364317407650856,0.0,0,1,0,0,0,0,0,0,0
Hexoding64,crypto,Beginner,Very Easy,2023,htboo-ctf-2023,396,228,0.5757575757575758,30,13.2,10,4,10,0.0328282828282828,1,0,23,5.75,3,1,5,3,0.0358484350144863,0.2739391326904297,0.0506473071873188,0.0193536393344402,-0.2058911174535751,-0.038722924888134,0.0611973218619823,0.0931603536009788,-0.004322453867644,-0.0506553761661052,0.0082638254389166,0.0105627607554197,0.0236307997256517,-0.0455621257424354,0.0852407291531562,0.0914611294865608,-0.0206224452704191,0.1153240203857421,-0.0369667597115039,0.0749308466911315,-0.0086939251050353,0.1252096444368362,0.0378872826695442,0.0899915322661399,0.1806225180625915,0.068854235112667,-0.1564924716949463,0.0066386726684868,-0.111650601029396,0.0266786962747573,0.0968497619032859,-0.1198472008109092,-0.0305457767099142,0.0316153354942798,0.1514314711093902,-0.0039476393721997,-0.002072031609714,0.0383143275976181,-0.1808684319257736,-0.0581147335469722,-0.055174171924591,-0.0105910208076238,-0.0958306118845939,-0.1803372949361801,0.0277466978877782,0.0163169596344232,-0.1134907975792884,-0.016764298081398,0.1388652026653289,0.0194410849362611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104556909486026,0.0,0.0,0.2366162883806939,0.0,0.0,0.0,0.0,0.0,0.0,0.3405293751432445,0.0723742436649261,0.0,0.0,0.081780354602809,0.0,0.0788720961268979,0.0,0.0,0.0,0.0,0.0,0.0,0.0905204838249222,0.0,0.1142607776555803,0.0,0.0,0.0,0.0,0.2482927445873433,0.0,0.0,0.0,0.0,0.2938488123828907,0.0,0.0,0.092545649447663,0.0,0.0,0.098519444196994,0.372439116881015,0.0,0.0,0.0,0.0,0.0876122253490111,0.0,0.098519444196994,0.0,0.0996765988429168,0.4501264815680258,0.0,0.0,0.0,0.0,0.1537649341659472,0.0,0.0,0.295558332590982,0.1407583349071421,0.0,0.0,0.0,0.0,0.070247796586837,0.0,0.0,0.0,0.0,0.0,0.0,0.210395157117073,0.0,0.0,0.0,0.095183269654848,0.0,0.0,0.2318245397111761,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0
Spellbound Servants,web,Beginner,Very Easy,2023,htboo-ctf-2023,435,282,0.6482758620689655,61,7.131147540983607,7,3,7,0.0459770114942528,2,2,68,22.666666666666668,6,5,0,1,-0.3148246705532074,-0.0077500180341303,-0.1235351860523223,0.3320121467113495,-0.1558370590209961,-0.1606053709983825,-0.1631400436162948,-0.0895328521728515,0.1392360627651214,-0.1039863973855972,-0.1709277629852295,-0.0777959302067756,0.1032821461558342,-0.1048259735107421,-0.0012018217239528,0.1240788176655769,0.0321539193391799,0.086669310927391,0.0781790614128112,0.0801320746541023,0.0957575514912605,-0.0792455077171325,0.0231619160622358,-0.0009811419295147,-0.0262959562242031,-0.0093003567308187,0.0056357188150286,-0.0760123804211616,-0.0081657720729708,0.1280864477157592,-0.0085474029183387,0.083552248775959,0.0793325901031494,0.0114690912887454,-0.0671326965093612,-0.0372275747358799,0.0323491021990776,-0.0128214312717318,-0.0437637269496917,0.0384602211415767,-0.0195304248481988,0.0183445569127798,0.0651257708668708,-0.0039706961251795,-0.0184205248951911,-0.0750590339303016,0.0097531238570809,-0.0032350688707083,0.0757927000522613,0.0382380224764347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0647389102029369,0.2737940819440506,0.0781750855993622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655148937883081,0.0,0.0484164907901792,0.0,0.115928988135371,0.0,0.1537455879042098,0.2828598064442749,0.0300587350885665,0.0,0.0,0.0,0.1146698669211554,0.0982723406824622,0.0406807871614309,0.0547588163888101,0.1078354344185944,0.0,0.0,0.1179333990197308,0.1879764889826977,0.1112621487733721,0.0,0.0,0.0,0.0570032065741886,0.0,0.0,0.0,0.075605545828746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2280128262967546,0.0968329815803585,0.0795144141591629,0.0,0.0363874292694262,0.0416420746549278,0.0,0.0,0.0827960978223126,0.1495585388464248,0.0,0.0,0.1593168819052574,0.2898224703384277,0.3512421758591365,0.0,0.0450685270376675,0.0,0.0584602655064697,0.0,0.0,0.0456429036479243,0.0,0.0583511426505599,0.0,0.0,0.0,0.0884648116506204,0.2228607404413296,0.0413980489111563,0.1310731270846621,0.0,0.1800403853229351,0.0658525048905601,0.0,0.3861147675560458,0.273040497510836,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
GhostlyTemplates,web,Intermediate,Medium,2023,htboo-ctf-2023,1254,497,0.3963317384370016,206,6.087378640776699,9,14,7,0.0191387559808612,2,7,224,16.0,0,0,0,2,-0.2207877486944198,-0.1716856211423874,-0.0546435639262199,0.2548914849758148,-0.065565325319767,0.1929103732109069,0.0005487736198119,0.0668029710650444,-0.0300997216254472,0.0434358157217502,-0.043914571404457,0.1390150338411331,0.0313183367252349,-0.1279444396495819,0.0884735956788063,0.1678900867700576,-0.1813083738088607,-0.0029315066058188,0.0409539826214313,-0.0026572160422801,0.1222938895225524,0.23084357380867,-0.045168712735176,0.005537596065551,-0.0245433375239372,0.0880671367049217,0.0469198189675807,-0.1580768227577209,0.1730153560638427,0.0045324261300265,-0.0615811087191104,0.0210693459957838,0.0925075188279151,-0.1223459169268608,0.2274191379547119,0.1203757300972938,-0.0368757620453834,-0.0771155431866645,0.0687562301754951,-0.0158918444067239,-0.0239758491516113,0.0556134618818759,0.042361743748188,0.0353306047618389,0.067161239683628,0.0817165672779083,0.0307855121791362,0.1189212054014206,-0.0203383527696132,-0.0816274732351303,0.0,0.0,0.0,0.0,0.0,0.0,0.0156392353362727,0.0,0.0365699716180153,0.0130520565003884,0.0,0.0,0.0,0.0,0.0,0.0,0.0293582333832689,0.0218766398216499,0.0310755464147386,0.0,0.0,0.0387108422478804,0.0155377732073693,0.03850388044911,0.0,0.0100371699166871,0.0,0.3135345896622964,0.0340249489360723,0.0,0.0656299194649497,0.0,0.0182849858090076,0.6121403238317031,0.0396012698319037,0.0,0.0196900761347032,0.0,0.0371524979092963,0.0158461737500361,0.0,0.0886647763436157,0.3426197287715548,0.0,0.0,0.0,0.0,0.0,0.0200396094959597,0.0135840703835598,0.0847695311907281,0.0,0.0,0.0136630982436369,0.0,0.0,0.0172171503307295,0.0,0.0161671654977788,0.013275669840893,0.0,0.024300876888701,0.0,0.0136630982436369,0.0,0.0,0.0,0.0,0.0133516434356803,0.1418636421497852,0.1161325267436413,0.2452349616787408,0.0,0.0,0.0,0.0,0.1060117168163069,0.0,0.0609640529523751,0.0,0.0194845302668539,0.0,0.4785131925386293,0.0341866355149278,0.0,0.0,0.0414707322097515,0.0291785010066441,0.0674054154791934,0.1402772664717179,0.0,0.0132004232773012,0.0716282733692188,0.0,0.0321504195154236,0.0543362815342393,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
PumpkinSpice,web,Beginner,Easy,2023,htboo-ctf-2023,681,390,0.5726872246696035,109,6.247706422018348,12,9,7,0.0352422907488986,2,8,96,10.666666666666666,5,7,0,3,-0.1981132179498672,-0.160889595746994,-0.0727612599730491,0.1868267357349395,-0.120341457426548,-0.2746016383171081,-0.0157609786838293,0.0465533696115016,0.0139756109565496,0.0263815261423587,-0.0895047634840011,0.1995474696159362,0.0137509666383266,0.0942755490541458,-0.0529869012534618,0.1054619178175926,-0.0048215296119451,-0.0073455055244266,0.0341347567737102,0.227800652384758,0.1433314979076385,0.1089596524834632,0.0969946905970573,0.0662281513214111,0.0140833845362067,-0.1993936002254486,-0.0860059261322021,-0.0928088426589965,-0.0358638279139995,-0.0457118339836597,0.0271210465580225,-0.0269526448100805,0.0083071431145071,0.0331973433494567,0.0804925411939621,0.0265219267457723,-0.0042545963078737,0.0659475848078727,0.0050720893777906,-0.0099173253402113,-0.0417838729918003,-0.0310179200023412,-0.0051579009741544,-0.0237670689821243,0.0469855405390262,-0.0550108961760997,-0.0059753921814262,0.0301322638988494,-0.0466962717473506,0.034094899892807,0.0,0.0,0.0265842647155636,0.0,0.0,0.077626414326577,0.4058973388422482,0.3155943180290717,0.1186411439092343,0.0211718911043837,0.0,0.0,0.0,0.0,0.0,0.0,0.0476223283425988,0.0,0.0,0.3409242885118801,0.0,0.062793302848996,0.0,0.0208191959108896,0.1276765901806722,0.0162814088696269,0.0,0.0,0.0183974204546565,0.0,0.0354863492982895,0.0220348769488128,0.5338851475915545,0.0292047019481999,0.0,0.033099843909439,0.0319394991700008,0.1425452831724675,0.3314602200675649,0.0257042608608783,0.0,0.0287648308829447,0.0,0.0,0.0,0.0,0.0409519828702755,0.0,0.0,0.0,0.0,0.1311247263507231,0.0,0.0221630689504116,0.0,0.0,0.0279281377550856,0.0,0.0262249452701446,0.02153461687825,0.050408001580631,0.0,0.0,0.0443261379008233,0.0,0.1345403042559283,0.0405044276435442,0.0,0.0,0.1438241544147235,0.15698325712249,0.1383646798193925,0.0,0.0488230202428715,0.1551414826528816,0.0,0.0,0.0,0.0,0.0,0.0316060808515211,0.0445851248317911,0.0470425308033041,0.0554545350248649,0.0479172448479425,0.0,0.0448467680853094,0.0236653911926995,0.0,0.0,0.0,0.0428251171224205,0.023237809363191,0.0,0.0347677104074514,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
HauntMart,web,Beginner,Easy,2023,htboo-ctf-2023,847,446,0.526564344746163,86,9.848837209302326,7,10,7,0.024793388429752,1,3,124,12.4,10,0,0,1,-0.4246830642223358,-0.04899188503623,-0.1539953052997589,0.2986622750759125,-0.1210929825901985,-0.0919795259833335,0.0943910628557205,0.3089376986026764,0.1383604109287262,-0.0379091128706932,-0.2458505779504776,-0.0871114060282707,0.0732384398579597,0.0408015437424182,-0.0291227623820304,0.06384938955307,-0.0909619703888893,0.1779464483261108,0.0418171659111976,-0.0364820398390293,0.1044430881738662,0.0391818322241306,0.1726974993944168,0.0301204454153776,-0.0752247646450996,0.0451142601668834,0.0561555884778499,-0.0799660012125969,0.0967222079634666,-0.0081534469500184,-0.0459378212690353,0.047059092670679,0.1974732428789138,0.0427050180733203,0.1000177189707756,0.0998579114675521,-0.0504683628678321,-0.0817789882421493,-0.0177643597126007,0.0726840943098068,0.0436844602227211,0.0545036979019641,-0.0277372356504201,-0.0098156984895467,0.0279268454760313,-0.1038460806012153,0.0531654506921768,-0.1072471663355827,0.0541506744921207,0.1451994031667709,0.0,0.0,0.0,0.0,0.0,0.0,0.0240270828567311,0.0,0.0842755146822705,0.1403661914216178,0.0,0.0,0.0,0.0,0.0,0.0,0.0451040406298512,0.0,0.0,0.0,0.0,0.0,0.0477424063562347,0.1380278797044741,0.2418500023586052,0.0925226488571301,0.0,0.0,0.0,0.0196089419235361,0.1176343594887172,0.0,0.056183676454847,0.0553206913268878,0.0,0.0313495109645367,0.2117536800233528,0.0,0.0285393155869581,0.0,0.0,0.0,0.0877297007018803,0.0220089847377022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209910770265166,0.0,0.0,0.0248381597067388,0.1427710042537377,0.0,0.0,0.0,0.0419821540530333,0.0,0.2123762655287808,0.0191812686790566,0.0,0.0,0.2179498812441868,0.2378910718189471,0.3440007384867894,0.0,0.0,0.0,0.0,0.0,0.0806249812117172,0.0468305617273854,0.0,0.029934738692778,0.0,0.0222774515078179,0.0,0.0,0.1905497683779065,0.0849505062115123,0.0,0.0258893012971462,0.4002378323810846,0.0,0.0202802539259715,0.242098832114725,0.4902540808957223,0.0329291800170519,0.0208696638690805,0.0,0.0,0.0217463546665662,0.0,0,0,0,0,0,0,0,0,1
SpookTastic,web,Beginner,Very Easy,2023,htboo-ctf-2023,958,442,0.4613778705636743,177,5.4124293785310735,15,10,7,0.022964509394572,2,6,199,19.9,14,14,0,2,-0.370489627122879,0.1746167242527008,-0.1315233707427978,0.3875439465045929,-0.2159303426742553,0.0074324738234281,0.0487533807754516,-0.0282877851277589,0.0424151793122291,0.0850164368748664,-0.0777489393949508,0.1145993620157241,-0.0630969405174255,-0.0486625544726848,-0.0210324581712484,0.0066985767334699,-0.0335324071347713,-0.0372416190803051,-0.0308540221303701,0.1145038604736328,-0.1310533285140991,0.1218336746096611,0.0915124341845512,-0.0482148379087448,0.0179730504751205,0.0488831400871276,0.0622139796614646,0.0916806533932685,-0.0192957334220409,0.057693988084793,-0.0566978752613067,-0.0151199083775281,0.0144851170480251,0.1457205712795257,0.0339895151555538,0.1076162755489349,-0.0396056026220321,0.0202244147658348,0.0274011269211769,-0.001566095626913,-0.0474222339689731,-0.0348653607070446,0.0536927804350853,0.0383082292973995,0.0218192897737026,-0.0820089057087898,0.0105066811665892,-0.0695926547050476,0.0533459186553955,0.0801270976662635,0.0,0.0,0.0,0.0,0.0514769396837282,0.0,0.0,0.4193326677065069,0.0506698157365399,0.0542531428325033,0.0,0.0,0.0,0.0,0.0,0.0,0.0406775343284037,0.0151556763603226,0.0,0.0,0.0,0.0,0.0,0.0355662390239512,0.3053608122518849,0.0139070808013517,0.0,0.0,0.0314290261792576,0.0,0.1364010872429041,0.0376430340431596,0.2280141708144298,0.0997830477755994,0.0,0.1130914916385237,0.1364087098569647,0.243515630226477,0.1286923492093206,0.0219557923760593,0.0,0.1474202253120486,0.1846131376451192,0.0198490250474074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224005450513132,0.0,0.0,0.0,0.0378620294063493,0.0,0.0,0.0224005450513132,0.0551826305727139,0.1076424277269207,0.0,0.0,0.0946550735158733,0.0,0.1723803109400559,0.0,0.0231846911196727,0.0369989520217529,0.51597078859217,0.0,0.2363737435390078,0.0,0.062554692863555,0.0946550735158733,0.0,0.0,0.0,0.0422346148079558,0.0,0.02699694625544,0.0380832481107197,0.1205468670838597,0.0236837826986486,0.0,0.2062190784565349,0.1149202072933706,0.04042850470102,0.0,0.0277660407068043,0.0152337765342757,0.0,0.0396980500948148,0.0,0.0296975133900378,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
